OBJECTIF ANNUEL,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,,,,,,,,,,,,,,,,,,,,,,,
Période,,2025,2026,,Objectif,% atteint,,,,Vente de l'année,"167 239,28$",,,,,,,,,,,,,,
JANVIER,,"65020,50","31062,50",,"63000,00","49,31%",,,,,,,,,,,,,,,,,,,
FÉVRIER,,"54315,60","47755,22",,"63000,00","75,80%",,,,Objectif de vente annuel,"1 200 000,00$",,,,,,,,,,,,,,
MARS,,"67853,30","54701,56",,"94600,00","57,82%",,,,,,,,,,,,,,,,,,,
AVRIL,,"118021,10","33720,00",,"127600,00","26,43%",,,,% atteint,"13,94%",,,,,,,,,,,,,,
MAI,,"137780,54","0,00",,"150350,00","0,00%",,,,,,,,,,,,,,,,,,,
JUIN,,"31121,25","0,00",,"125350,00","0,00%",,,,,,,,,,,,,,,,,,,
JUILLET,,"47846,09","0,00",,"61350,00","0,00%",,,,,,,,,,,,,,,,,,,
AOÛT,,"166793,42","0,00",,"165350,00","0,00%",,,,,,,,,,,,,,,,,,,
SEPTEMBRE,,"44980,03","0,00",,"130350,00","0,00%",,,,,,,,,,,,,,,,,,,
OCTOBRE,,"118196,19","0,00",,"120350,00","0,00%",,,,,,,,,,,,,,,,,,,
NOVEMBRE,,"41984,72","0,00",,"59350,00","0,00%",,,,,,,,,,,,,,,,,,,
DÉCEMBRE,,"27509,99","0,00",,"39350,00","0,00%",,,,,,,,,,,,,,,,,,,
Total,,"  921 422,73 $ ","  167 239,28 $ ",,"  1 200 000,00 $ ","13,94%",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,MULTI-ANNONCEURS,,,,PROMOTIONNEL,,,,DIST. PUBLICITAIRE SOLO,,,,NUMÉRIQUE,,,,APPLICATION,,,,SERVICES IA,,,
Période,,2025,2026,Objectif,% atteint,2025,2026,Objectif,% atteint,2025,2026,Objectif,% atteint,2025,2026,Objectif,% atteint,2025,2026,Objectif,% atteint,2025,2026,Objectif,% atteint
JANVIER,,"39472,00","15720,00","40 000,00","39,30%","0,00","132,00","3 000,00","4,40%","24298,50","15060,50","20 000,00","75,30%","1250,00","150,00","0,00",#DIV/0!,"0,00","0,00",,#DIV/0!,,,"0,00",#DIV/0!
FÉVRIER,,"46723,26","46465,00","50 000,00","92,93%","2145,34","1140,22","3 000,00","38,01%","5447,00","0,00","10 000,00","0,00%","0,00","150,00","0,00",#DIV/0!,"0,00","0,00",,#DIV/0!,,,"0,00",#DIV/0!
MARS,,"57572,00","49753,03","60 000,00","82,92%","434,30","607,23","3 000,00","20,24%","9847,00","4191,30","10 000,00","41,91%","0,00","150,00","10 000,00","1,50%","0,00","0,00",,#DIV/0!,,,"11600,00","0,00%"
AVRIL,,"98960,00","33720,00","100 000,00","33,72%","2108,60","0,00","3 000,00","0,00%","9895,00","0,00","15 000,00","0,00%","7057,50","0,00","8 000,00","0,00%","0,00","0,00",,#DIV/0!,,,"1600,00","0,00%"
MAI,,"124205,00","0,00","125 000,00","0,00%","2681,54","0,00","4 000,00","0,00%","10894,00","0,00","15 000,00","0,00%","0,00","0,00","4 750,00","0,00%","0,00","0,00",,#DIV/0!,,,"1600,00","0,00%"
JUIN,,"22936,00","0,00","100 000,00","0,00%","0,00","0,00","4 000,00","0,00%","8185,25","0,00","15 000,00","0,00%","0,00","0,00","4 750,00","0,00%","0,00","0,00",,#DIV/0!,,,"1600,00","0,00%"
JUILLET,,"27704,27","0,00","35 000,00","0,00%","5319,59","0,00","5 000,00","0,00%","14822,23","0,00","15 000,00","0,00%","0,00","0,00","4 750,00","0,00%","0,00","0,00",,#DIV/0!,,,"1600,00","0,00%"
AOÛT,,"133594,75","0,00","125 000,00","0,00%","704,87","0,00","4 000,00","0,00%","27962,55","0,00","30 000,00","0,00%","4531,25","0,00","4 750,00","0,00%","0,00","0,00",,#DIV/0!,,,"1600,00","0,00%"
SEPTEMBRE,,"27915,00","0,00","100 000,00","0,00%","1515,08","0,00","4 000,00","0,00%","13243,70","0,00","20 000,00","0,00%","2306,25","0,00","4 750,00","0,00%","0,00","0,00",,#DIV/0!,,,"1600,00","0,00%"
OCTOBRE,,"40002,34","0,00","70 000,00","0,00%","751,74","0,00","4 000,00","0,00%","77292,11","0,00","40 000,00","0,00%","150,00","0,00","4 750,00","0,00%","0,00","0,00",,#DIV/0!,,,"1600,00","0,00%"
NOVEMBRE,,"33995,00","0,00","40 000,00","0,00%","7397,01","0,00","8 000,00","0,00%","42,71","0,00","5 000,00","0,00%","550,00","0,00","4 750,00","0,00%","0,00","0,00",,#DIV/0!,,,"1600,00","0,00%"
DÉCEMBRE,,"20870,00","0,00","25 000,00","0,00%","1042,99","0,00","3 000,00","0,00%","5447,00","0,00","5 000,00","0,00%","150,00","0,00","4 750,00","0,00%","0,00","0,00",,#DIV/0!,,,"1600,00","0,00%"
Total,,"  673 949,62 $ ","  145 658,03 $ ","  870 000,00 $ ","16,74%","  24 101,06 $ ","  1 879,45 $ ","  48 000,00 $ ","3,92%","  207 377,05 $ ","  19 251,80 $ ","  200 000,00 $ ","9,63%","  15 995,00 $ ","  450,00 $ ","  56 000,00 $ ","0,80%",  -   $ ,  -   $ ,  -   $ ,#DIV/0!,  -   $ ,  -   $ ,"  26 000,00 $ ","0,00%"