,Totaux,MÉDIA MULTI-ANNONCEURS,PROMOTIONNEL,DIST. PUBLICITAIRE SOLO,NUMÉRIQUE,APPLICATION,SERVICES IA
Commission,"4 428,31$","3 458,00$","0,00$","870,31$","100,00$","0,00$","0,00$"
,,,,,,,
Vente,"88 566,20$","69 160,00$","0,00$","17 406,20$","2 000,00$","0,00$","0,00$"
,,,,,,,
,,,,,,,
CLIENT,TOTAL (AVANT TAXES),# FACTURE,DATE,REPRÉSENTANT,DÉPARTEMENT,COMMISSION,
"Groupe Lavoie, PGL agence immobilière","$3 735,00",MTL-001817,05/01/2026,Richard Courville,DIST. PUBLICITAIRE SOLO,"186,75$",
ELECTRO AIDE INC.,"$5 385,00",MTL-001855,07/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"269,25$",
S & S Conversions,"$5 385,00",MTL-001854,07/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"269,25$",
Meraki Cuisine Méditerranéenne,"$1 245,00",MTL-001856,08/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"62,25$",
Éric Cuirot (Beneva),"$1 995,00",MTL-001875,09/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"99,75$",
Joker Resto Ludique,"$3 895,00",MTL-001874,09/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"194,75$",
PAOLA BENAÏM Broker,"$1 075,00",MTL-001873,09/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"53,75$",
Via Capitale Parcours-Joyce Jones,"$1 895,00",MTL-001872,09/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"94,75$",
Robert Wiseman Residential Real Estate Broker,"$995,00",MTL-001871,09/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"49,75$",
Chico - St-Jean-sur-Richelieu,"$1 895,00",MTL-001867,09/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"94,75$",
Alexandre Desrochers Royale Lepage Excellence,"$1 695,00",MTL-001866,09/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"84,75$",
Plomberie Shimoda,"$3 590,00",MTL-001865,09/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"179,50$",
Le centre dentaire Taschereau,"$3 390,00",MTL-001863,09/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"169,50$",
Claudia Prévost-REMAX,"$1 695,00",MTL-001862,09/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"84,75$",
Emilie Fortin Courtier immobilier,"$1 795,00",MTL-001857,09/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"89,75$",
ELIC Paysagiste,"$2 095,00",MTL-001876,12/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"104,75$",
JR Énergie Inc.,"-$1 695,00",CN-00226,12/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"-84,75$",
Air.cr.ventilation Inc.,"$4 800,00",MTL-001878,14/01/2026,Richard Courville,DIST. PUBLICITAIRE SOLO,"240,00$",
Rachat D'or De La Capitale,"$2 095,00",MTL-001894,16/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"104,75$",
Rachat D'or De La Capitale,"$2 000,00",MTL-001893,16/01/2026,Richard Courville,AGENCE PUB,"100,00$",
Augusto Fernandes-RE/MAX,"$1 895,00",MTL-001892,16/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"94,75$",
PAOLA BENAÏM Broker,"$1 075,00",MTL-001890,16/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"53,75$",
Nedair Industries,"$6 780,00",MTL-001889,16/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"339,00$",
Thermolux,"$1 995,00",MTL-001887,16/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"99,75$",
Pattes & Griffes - Vimont,"$1 895,00",MTL-001886,16/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"94,75$",
Chico - St-Jean-sur-Richelieu,"$975,00",MTL-001885,16/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"48,75$",
Nathalie Rioux courtier immobilier Re/Max,"$1 895,00",MTL-001884,16/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"94,75$",
Équipe Soutière Lalonde,"$3 390,00",MTL-001883,16/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"169,50$",
Chico - Saint-Bruno,"$567,50",MTL-001882,16/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"28,38$",
JR Énergie Inc.,"$1 695,00",MTL-001881,16/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"84,75$",
Jean-François Alexandre Courtier inc et Émilie Cauvier inc,"$200,00",MTL-001880,16/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"10,00$",
VLM Clinique familiale privée,"$1 995,00",MTL-001879,16/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"99,75$",
Eco Design Aménagement Paysage,"$4 780,00",MTL-001897,23/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"239,00$",
Robert Boufaissal - Royal Lepage,"$1 145,00",MTL-001896,19/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"57,25$",
Inspection Simca,"$5 985,00",MTL-001901,28/01/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"299,25$",
Hello Network,"$4 502,85",MTL-001900,28/01/2026,Richard Courville,DIST. PUBLICITAIRE SOLO,"225,14$",
9452-1697 Québec Inc-Le Phonestop,"$4 368,35",MTL-001899,27/01/2026,Richard Courville,DIST. PUBLICITAIRE SOLO,"218,42$",
9452-1697 Québec Inc-Le Phonestop,"$1 895,00",MTL-001898,26/01/2026,Richard Courville,DIST. PUBLICITAIRE SOLO,"94,75$",
9452-1697 Québec Inc-Le Phonestop,"-$1 895,00",CN-00228,27/01/2026,Richard Courville,DIST. PUBLICITAIRE SOLO,"-94,75$",
Chico - Saint-Bruno,"-$567,50",CN-00233,06/02/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"-28,38$",
Thermolux,"-$1 995,00",CN-00234,06/02/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"-99,75$",
PAOLA BENAÏM Broker,"-$1 075,00",CN-00235,06/02/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"-53,75$",
Augusto Fernandes-RE/MAX,"-$1 895,00",CN-00236,06/02/2026,Richard Courville,MÉDIA MULTI-ANNONCEURS,"-94,75$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",
,,,,,,"0,00$",